BATHRM,HF_BATHRM,AC,BEDRM,STORIES,PRICE,CNDTN,LANDAREA,FULLADDRESS,ASSESSMENT_NBHD,WARD,QUADRANT
2,0,N,3,2,310000,Average,2918,652 OGLETHORPE STREET NE,Riggs Park,Ward 4,NE
2,1,Y,3,2,579000,Very Good,2868,582 NICHOLSON STREET NE,Riggs Park,Ward 4,NE
2,1,Y,3,2,510000,Good,1680,4609 NORTH CAPITOL STREET NE,Brookland,Ward 5,NE
1,0,N,2,1,318862,Average,4800,35 SHERIDAN STREET NE,Takoma Park,Ward 4,NE
1,1,N,3,2,498000,Average,2295,714 HAMLIN STREET NE,Brookland,Ward 5,NE
2,0,Y,3,2,475000,Good,3570,1 CRITTENDEN STREET NE,Brookland,Ward 5,NE
1,0,N,2,2,280000,Average,2013,323 OGLETHORPE STREET NE,Riggs Park,Ward 4,NE
3,1,Y,4,2,700000,Very Good,3484,100 ONEIDA STREET NE,Riggs Park,Ward 4,NE
1,1,Y,3,2,490000,Good,1980,5722 EASTERN AVENUE NE,Riggs Park,Ward 4,NE
2,0,Y,3,2,427500,Good,2134,247 OGLETHORPE STREET NE,Riggs Park,Ward 4,NE
3,1,Y,3,2,875000,Very Good,1500,222 SEATON PLACE NE,Eckington,Ward 5,NE
2,1,N,4,2,600000,Average,3441,1812 3RD STREET NE,Eckington,Ward 5,NE
1,1,Y,3,2,532000,Average,929,214 ADAMS STREET NE,Brookland,Ward 5,NE
2,1,Y,3,2,786500,Good,1862,2016 3RD STREET NE,Eckington,Ward 5,NE
3,1,Y,3,2,718000,Very Good,1115,211 ASCOT PLACE NE,Brookland,Ward 5,NE
3,1,Y,3,3,725500,Very Good,776,580 REGENT PLACE NE,Brookland,Ward 5,NE
2,1,Y,3,3,719900,Very Good,679,578 REGENT PLACE NE,Brookland,Ward 5,NE
3,1,Y,3,3,799900,Very Good,881,570 REGENT PLACE NE,Brookland,Ward 5,NE
1,2,Y,3,2,600000,Good,3396,6325 KANSAS AVENUE NE,Takoma Park,Ward 4,NE
2,0,N,4,2,535000,Average,2520,635 FRANKLIN STREET NE,Brookland,Ward 5,NE
2,1,Y,4,2,530000,Good,1693,5922 EASTERN AVENUE NE,Riggs Park,Ward 4,NE
1,1,Y,2,2,549900,Average,2004,615 GALLATIN STREET NE,Brookland,Ward 5,NE
1,1,Y,3,2,315000,Average,2929,735 OGLETHORPE STREET NE,Riggs Park,Ward 4,NE
1,1,Y,3,2,350000,Fair,2200,5303 SOUTH DAKOTA AVENUE NE,Riggs Park,Ward 5,NE
1,1,Y,3,2,450000,Average,3253,716 OGLETHORPE STREET NE,Riggs Park,Ward 4,NE
2,1,Y,2,2,374630,Very Good,749,3007 CHANCELLOR'S WAY NE,Brookland,Ward 5,NE
3,1,Y,3,3,860000,Very Good,1005,627 REGENT PLACE NE,Brookland,Ward 5,NE
3,1,Y,3,3,830000,Very Good,873,3115 CHANCELLOR'S WAY NE,Brookland,Ward 5,NE
3,1,Y,3,3,779900,Very Good,776,3110 CHANCELLOR'S WAY NE,Brookland,Ward 5,NE
1,1,Y,3,2,670000,Average,1678,74 ALLISON STREET NE,Brookland,Ward 5,NE
1,1,Y,3,2,375000,Average,1878,643 GALLATIN STREET NE,Brookland,Ward 5,NE
1,0,Y,2,2,489500,Average,1655,5018 6TH PLACE NE,Brookland,Ward 5,NE
2,1,Y,3,2,532000,Good,2360,5000 6TH PLACE NE,Brookland,Ward 5,NE
3,1,Y,3,2,1178000,Very Good,2000,209 RANDOLPH PLACE NE,Eckington,Ward 5,NE
1,2,Y,2,2,419900,Average,2264,5876 EASTERN AVENUE NE,Riggs Park,Ward 4,NE
3,1,Y,3,3,816000,Very Good,1039,553 REGENT PLACE NE,Brookland,Ward 5,NE
1,2,Y,3,2,510000,Average,2910,802 HAMILTON STREET NE,Riggs Park,Ward 5,NE
1,0,Y,2,2,356000,Average,1655,724 FARADAY PLACE NE,Brookland,Ward 5,NE
2,0,Y,3,2,399999,Average,5279,4600 6TH PLACE NE,Brookland,Ward 5,NE
2,0,Y,3,2,595000,Very Good,2125,830 DELAFIELD STREET NE,Brookland,Ward 5,NE
1,1,N,3,2,381000,Average,2061,5249 CHILLUM PLACE NE,Riggs Park,Ward 5,NE
1,1,Y,3,2,405255,Average,2794,5323 CHILLUM PLACE NE,Riggs Park,Ward 5,NE
3,1,Y,3,2,579950,Good,2794,5331 CHILLUM PLACE NE,Riggs Park,Ward 5,NE
